"","Name","Country","Age","Height","Weight","Sex","Sport","Event","Medals","Gold","Silver","Bronze"
"1","Taylor Worth","Australia",21,174,60,"M","Archery","Men's Individual","","","",NA
"2","Md Emdadul Haque Milon","Bangladesh",19,174,60,"M","Archery","Men's Individual","","","",NA
"3","Yavor Vasilev Hristov","Bulgaria",36,178,88,"M","Archery","Men's Individual","","","",NA
"4","Rene Philippe Kouassi","Côte d'Ivoire",32,190,77,"M","Archery","Men's Individual","","","",NA
"5","Crispin Duenas","Canada",26,170,81,"M","Archery","Men's Individual","","","",NA
"6","Daniel Felipe Pineda","Colombia",18,186,83,"M","Archery","Men's Individual","","","",NA
"7","Ahmed El-Nemr","Egypt",33,183,84,"M","Archery","Men's Individual","","","",NA
"8","Robert Elder","Fiji",31,193,115,"M","Archery","Men's Individual","","","",NA
"9","Camilo Mayr","Germany",21,178,74,"M","Archery","Men's Individual","","","",NA
"10","Kar Wai Calvin Lee","Hong Kong, China",29,172,68,"M","Archery","Men's Individual","","","",NA
"11","Denis Gankin","Kazakhstan",22,183,68,"M","Archery","Men's Individual","","","",NA
"12","Jeff Henckels","Luxembourg",27,184,77,"M","Archery","Men's Individual","","","",NA
"13","Jantsan Gantugs","Mongolia",40,174,75,"M","Archery","Men's Individual","","","",NA
"14","Nay Myo Aung","Myanmar",26,178,71,"M","Archery","Men's Individual","","","",NA
"15","Rick van der Ven","Netherlands",21,181,71,"M","Archery","Men's Individual","","","",NA
"16","Mark Javier","Philippines",30,173,53,"M","Archery","Men's Individual","","","",NA
"17","Rafal Dobrowolski","Poland",28,180,80,"M","Archery","Men's Individual","","","",NA
"18","Dan Olaru","Republic of Moldova",15,175,70,"M","Archery","Men's Individual","","","",NA
"19","Emanuele Guidi","San Marino",42,175,80,"M","Archery","Men's Individual","","","",NA
"20","Klemen Strajhar","Slovenia",17,190,92,"M","Archery","Men's Individual","","","",NA
"21","Elias Cuesta","Spain",27,177,76,"M","Archery","Men's Individual","","","",NA
"22","Axel Muller","Switzerland",20,176,70,"M","Archery","Men's Individual","","","",NA
